,Waktu,Temp1,Temp2,Humid 1,Humid 2,Baterai,Temp outdoor,Humidity outdoor
7417,2025-11-17 16:55:35+07:00,,,,,,24.8,97.0
7418,2025-11-17 16:55:51+07:00,,,,,,24.8,97.3
7419,2025-11-17 16:56:07+07:00,,,,,,24.8,97.5
7420,2025-11-17 16:56:24+07:00,,,,,,24.8,97.7
7421,2025-11-17 16:56:40+07:00,,,,,,24.7,97.7
7422,2025-11-17 16:56:56+07:00,,,,,,24.8,97.8
7423,2025-11-17 16:57:12+07:00,,,,,,24.8,97.8
7424,2025-11-17 16:57:28+07:00,,,,,,24.8,97.9
7425,2025-11-17 16:57:44+07:00,,,,,,24.8,97.9
7426,2025-11-17 16:58:00+07:00,,,,,,24.8,98.0
7427,2025-11-17 16:58:16+07:00,,,,,,24.8,97.8
7428,2025-11-17 16:58:33+07:00,,,,,,24.8,97.6
7429,2025-11-17 16:58:49+07:00,,,,,,24.7,97.1
7430,2025-11-17 16:59:05+07:00,,,,,,24.8,97.5
7431,2025-11-17 16:59:21+07:00,,,,,,24.8,97.6
7432,2025-11-17 16:59:38+07:00,,,,,,24.8,97.6
7433,2025-11-17 16:59:54+07:00,,,,,,24.7,97.1
7434,2025-11-17 17:00:10+07:00,,,,,,24.7,96.9
7435,2025-11-17 17:00:26+07:00,,,,,,24.7,96.8
7436,2025-11-17 17:00:43+07:00,,,,,,24.7,96.7
7437,2025-11-17 17:00:59+07:00,,,,,,24.7,97.1
7438,2025-11-17 17:01:15+07:00,,,,,,24.7,97.1
7439,2025-11-17 17:01:31+07:00,,,,,,24.7,97.0
7440,2025-11-17 17:01:47+07:00,,,,,,24.7,96.8
7441,2025-11-17 17:02:03+07:00,,,,,,24.7,96.6
7442,2025-11-17 17:02:19+07:00,,,,,,24.7,97.0
7443,2025-11-17 17:02:35+07:00,,,,,,24.7,97.4
7444,2025-11-17 17:02:52+07:00,,,,,,24.7,97.2
7445,2025-11-17 17:03:07+07:00,,,,,,,
7446,2025-11-17 17:03:24+07:00,,,,,,24.7,96.7
7447,2025-11-17 17:03:40+07:00,,,,,,24.7,97.0
7448,2025-11-17 17:03:56+07:00,,,,,,24.7,97.1
7449,2025-11-17 17:04:12+07:00,,,,,,24.7,96.9
7450,2025-11-17 17:04:28+07:00,,,,,,24.7,96.8
